Employer,Provider,Our_Recordkeeper,Our_Matched_Employer,Our_Confidence,Our_Match_Method,Our_Tool_Result,Providers_Agree,Compare_Note
JK Welding,Ascensus,No match found,,none,,No match found for input: JK Welding,False,our_no_match
Help at Home,Paychex,Fidelity Investments,"HELP AT HOME HOLDINGS, LLC",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: HELP AT HOME HOLDINGS, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: HELP AT HOME 401(K) PLAN | Participants: 2,988 | Plan year: 2020 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Vale food company,Fidelity,No match found,,none,,No match found for input: Vale food company,False,our_no_match
Saratoga potato chips factory,Voya,No match found,,none,,No match found for input: Saratoga potato chips factory,False,our_no_match
Shaws supermarket,American Funds,No match found,,none,,No match found for input: Shaws supermarket,False,our_no_match
Petland,Bank of America,USI CONSULTING GROUP,"PETLAND, INC.",High,exact_normalized,"Recordkeeper: USI CONSULTING GROUP | Matched employer: PETLAND, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: PETLAND, INC. 401(K) RETIREMENT PLAN | Participants: 158 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Wendy?s,AAAA Benefits,Empower Retirement,THE WENDY'S COMPANY,High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: THE WENDY'S COMPANY | Confidence: High (100%) | Match method: exact_normalized | Plan: THE WENDY'S COMPANY 401(K) RETIREMENT PLAN | Participants: 13,124 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Press of ohio,Alight,No match found,,none,,No match found for input: Press of ohio,False,our_no_match
Mcdonalds,ADP,Empower,MCDONALDS CORPORATION AND SUBSIDIARIES,High,curated_override,"Recordkeeper: Empower | Matched employer: MCDONALDS CORPORATION AND SUBSIDIARIES | Confidence: High (100%) | Match method: curated_override | Plan: MCDONALD'S CORPORATION 401(K) PLAN | Participants: 32,808 | Plan year: 2024 | Reason: McDonald's Corporation 401(k) plan materials and SEC filings name Empower as recordkeeper (since January 2020). DOL Schedule C can still list legacy providers such as Voya without reflecting the current recordkeeper.",False,mismatch
Sanderson Farms Inc,Milliman,ONEDIGITAL INVESTMENT ADVISORS,"SANDERSON FARMS, INC.",High,exact_normalized,"Recordkeeper: ONEDIGITAL INVESTMENT ADVISORS | Matched employer: SANDERSON FARMS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: SANDERSON FARMS, INC. AND AFFILIATES ESOP | Participants: 14,127 | Plan year: 2023 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
National Beef,Human Interest,Fidelity Investments,"NATIONAL BEEF PACKING COMPANY, LLC",High,word_boundary,"Recordkeeper: Fidelity Investments | Matched employer: NATIONAL BEEF PACKING COMPANY, LLC | Confidence: High (96%) | Match method: word_boundary | Plan: NATIONAL BEEF UNION 401(K) PLAN | Participants: 6,213 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Druley Enterprise,Empower,No match found,,none,,No match found for input: Druley Enterprise,False,our_no_match
McDonald?s,401k Generation,Empower,MCDONALDS CORPORATION AND SUBSIDIARIES,High,curated_override,"Recordkeeper: Empower | Matched employer: MCDONALDS CORPORATION AND SUBSIDIARIES | Confidence: High (100%) | Match method: curated_override | Plan: MCDONALD'S CORPORATION 401(K) PLAN | Participants: 32,808 | Plan year: 2024 | Reason: McDonald's Corporation 401(k) plan materials and SEC filings name Empower as recordkeeper (since January 2020). DOL Schedule C can still list legacy providers such as Voya without reflecting the current recordkeeper.",False,mismatch
Dominos,401k Generation,Principal,M.B.R. MANAGEMENT DBA DOMINOS,High,word_boundary,"Recordkeeper: Principal | Matched employer: M.B.R. MANAGEMENT DBA DOMINOS | Confidence: High (96%) | Match method: word_boundary | Plan: M.B.R. MANAGEMENT DBA DOMINOS 401(K) PLAN | Participants: 4,471 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Subway,401k Generation,Newport Group,"FRANCHISE WORLD HEADQUARTERS, LLC",High,brand_alias,"Recordkeeper: Newport Group | Matched employer: FRANCHISE WORLD HEADQUARTERS, LLC | Confidence: High (98%) | Match method: brand_alias | Plan: SUBWAY 401(K) SAVINGS PLAN | Participants: 1,145 | Plan year: 2024 | Reason: ""Subway"" is a known shorthand for FRANCHISE WORLD; the result comes from matching that filing name.",False,mismatch
Dairy Queen,401k Generation,Empower Retirement,"INTERNATIONAL DAIRY QUEEN, INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: INTERNATIONAL DAIRY QUEEN, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: INTERNATIONAL DAIRY QUEEN, INC. RETIREMENT SAVINGS PLAN | Participants: 536 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
America pizza company,401k Generation,No match found,,none,,No match found for input: America pizza company,False,our_no_match
Earth grains,Security Benefit,No match found,,none,,No match found for input: Earth grains,False,our_no_match
Costco,Bank of America,T. Rowe Price,COSTCO WHOLESALE CORPORATION,High,word_boundary,"Recordkeeper: T. Rowe Price | Matched employer: COSTCO WHOLESALE CORPORATION | Confidence: High (96%) | Match method: word_boundary | Plan: COSTCO 401K RETIREMENT PLAN | Participants: 255,370 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Allied universal,JP Morgan Chase,Empower Retirement,ALLIED UNIVERSAL CORPORATION,High,exact_normalized,Recordkeeper: Empower Retirement | Matched employer: ALLIED UNIVERSAL CORPORATION | Confidence: High (100%) | Match method: exact_normalized | Plan: ALLIED UNIVERSAL CORPORATION 401(K) RETIREMENT PLAN | Participants: 373 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,False,mismatch
Domino sugar,ADP,No match found,,none,,No match found for input: Domino sugar,False,our_no_match
SWISSPORT FUEL SERVICES,401k Generation,No match found,,none,,No match found for input: SWISSPORT FUEL SERVICES,False,our_no_match
Yelian Garcia,Cashapp,No match found,,none,,No match found for input: Yelian Garcia,False,our_no_match
Erindeane,401k Generation,No match found,,none,,No match found for input: Erindeane,False,our_no_match
MPS,Other,Principal,"MPS GROUP, INC.",High,exact_normalized,"Recordkeeper: Principal | Matched employer: MPS GROUP, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: MPS GROUP 401(K) SAVINGS PLAN | Participants: 1,050 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Cedars Health Rehab center,Other,No match found,,none,,No match found for input: Cedars Health Rehab center,False,our_no_match
Zaxbys,Other,No match found,,none,,No match found for input: Zaxbys,False,our_no_match
Methwick,Other,No match found,,none,,No match found for input: Methwick,False,our_no_match
Shaw?s supermarlet,Other,No match found,,none,,No match found for input: Shaw?s supermarlet,False,our_no_match
Right at home,Other,Voya,EVER CARE CORP.,High,plan_word_boundary,Recordkeeper: Voya | Matched employer: EVER CARE CORP. | Confidence: High (94%) | Match method: plan_word_boundary | Plan: RIGHT AT HOME 401(K) PLAN | Participants: 161 | Plan year: 2022 | Reason: Listed on Schedule C Part 1 (eligible service providers on the filing). For some large plans the recordkeeper is also named in the Notes to Financial Statements attached to Schedule H (not available in DOL CSV extracts). This is separate from the Schedule C Part 1 Item 2 compensation table with service codes 15/64. Provider on filing: VOYA RETIREMENT INS & ANNUITY CO.,False,mismatch
Iowa Veterans Home,Other,No match found,,none,,No match found for input: Iowa Veterans Home,False,our_no_match
Summit Pointe,Other,No match found,,none,,No match found for input: Summit Pointe,False,our_no_match
Miami Valley Gaming,401k Generation,Empower Retirement,"MIAMI VALLEY GAMING & RACING, LLC.",High,word_boundary,"Recordkeeper: Empower Retirement | Matched employer: MIAMI VALLEY GAMING & RACING, LLC. | Confidence: High (96%) | Match method: word_boundary | Plan: MIAMI VALLEY GAMING 401(K) PLAN | Participants: 418 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Family Dollar,401k Generation,No match found,,none,,No match found for input: Family Dollar,False,our_no_match
Firefly services,Voya,No match found,,none,,No match found for input: Firefly services,False,our_no_match
Baltimore city councilman,401k Generation,No match found,,none,,No match found for input: Baltimore city councilman,False,our_no_match
Pkm steel,Johnson Bank,KEATING FINANCIAL ADVISORY SERVICES,"PKM STEEL SERVICE, INC.",High,word_boundary,"Recordkeeper: KEATING FINANCIAL ADVISORY SERVICES | Matched employer: PKM STEEL SERVICE, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: PKM STEEL SERVICE, INC. PROFIT SHARING RETIREMENT/401K PLAN | Participants: 138 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Salina Steel supply inc,401k Generation,No match found,,none,,No match found for input: Salina Steel supply inc,False,our_no_match
E J knight scrap yard co.,Other,No match found,,none,,No match found for input: E J knight scrap yard co.,False,our_no_match
Shaws supermarket,Fidelity,No match found,,none,,No match found for input: Shaws supermarket,False,our_no_match
Milliken Company,401k Generation,T. Rowe Price,MILLIKEN & COMPANY,High,exact_normalized,"Recordkeeper: T. Rowe Price | Matched employer: MILLIKEN & COMPANY | Confidence: High (100%) | Match method: exact_normalized | Plan: THE MILLIKEN RETIREMENT PLAN | Participants: 9,259 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Walker Construction,Empower,Ascensus,"WALKER & COMPANY CONSTRUCTION SERVICES, INC",High,word_boundary,"Recordkeeper: Ascensus | Matched employer: WALKER & COMPANY CONSTRUCTION SERVICES, INC | Confidence: High (96%) | Match method: word_boundary | Plan: WALKER & COMPANY 401(K) PROFIT SHARING PLAN | Participants: 123 | Plan year: 2021 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
HBS,401k Generation,No match found,,none,,No match found for input: HBS,False,our_no_match
Concentrix,Other,Fidelity Investments,CONCENTRIX CVG CORPORATION,High,word_boundary,"Recordkeeper: Fidelity Investments | Matched employer: CONCENTRIX CVG CORPORATION | Confidence: High (96%) | Match method: word_boundary | Plan: CONCENTRIX RETIREMENT AND SAVINGS PLAN | Participants: 21,289 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Conejo County housing authority,Vanguard,No match found,,none,,No match found for input: Conejo County housing authority,False,our_no_match
Flex film,Fidelity,ADP,"FLEX FILMS USA, INC.",High,plan_word_boundary,"Recordkeeper: ADP | Matched employer: FLEX FILMS USA, INC. | Confidence: High (94%) | Match method: plan_word_boundary | Plan: FLEX FILM INC. RASHMI 401K PLAN | Participants: 336 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL plan name.",False,mismatch
C&T Hom Care,401k Generation,No match found,,none,,No match found for input: C&T Hom Care,False,our_no_match
Taylor Hardin,Other,No match found,,none,,No match found for input: Taylor Hardin,False,our_no_match
Techno cap,401k Generation,No match found,,none,,No match found for input: Techno cap,False,our_no_match
7-ELEVEN,Other,Fidelity Investments,"7-ELEVEN, INC.",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: 7-ELEVEN, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: 7-ELEVEN, INC. 401(K) PLAN | Participants: 65,473 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
G4S,Wells Fargo,"ASC TRUST, LLC","G4S SECURE SOLUTIONS (GUAM), INC.",High,word_boundary,"Recordkeeper: ASC TRUST, LLC | Matched employer: G4S SECURE SOLUTIONS (GUAM), INC. | Confidence: High (96%) | Match method: word_boundary | Plan: G4S GUAM AND CNMI 401(K) RETIREMENT SAVINGS PLAN | Participants: 629 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
"HARBOR, INC.",PAYCHEX,Vanguard,HARBOR GROUP INC.,High,exact_normalized,"Recordkeeper: Vanguard | Matched employer: HARBOR GROUP INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: HARBOR GROUP INC. 401(K) PLAN | Participants: 1,693 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"HEALTH SERVICES, LLC",FIDELITY,Principal,"HEALTH SERVICES HOLDINGS, INC.",High,exact_normalized,"Recordkeeper: Principal | Matched employer: HEALTH SERVICES HOLDINGS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: HEALTH SERVICES ADVISORY GROUP 401(K) PLAN | Participants: 589 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"HEALTH SERVICES, INC.",MUTUAL OF AMERICA,Principal,"HEALTH SERVICES HOLDINGS, INC.",High,exact_normalized,"Recordkeeper: Principal | Matched employer: HEALTH SERVICES HOLDINGS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: HEALTH SERVICES ADVISORY GROUP 401(K) PLAN | Participants: 589 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"TYSON FOODS, INC.",NWPS,Fidelity Investments,"TYSON FOODS, INC.",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: TYSON FOODS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: TYSON FOODS, INC. RETIREMENT SAVINGS PLAN | Participants: 131,960 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
RTC AEROSPACE,ADP,Merrill Lynch,RTC AEROSPACE,High,exact_normalized,Recordkeeper: Merrill Lynch | Matched employer: RTC AEROSPACE | Confidence: High (100%) | Match method: exact_normalized | Plan: RTC AEROSPACE 401(K) PLAN | Participants: 279 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,False,mismatch
"SHOPRITE SUPERMARKETS, INC.",COMPENSATION PLANNING,Empower Retirement,"SHOPRITE SUPERMARKETS, INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: SHOPRITE SUPERMARKETS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: SHOPRITE SUPERMARKETS, INC. 401(K) PLAN | Participants: 540 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
GENERAL MOTORS LLC,FIDELITY,T. Rowe Price,"GENERAL MOTORS FINANCIAL COMPANY, INC",High,word_boundary,"Recordkeeper: T. Rowe Price | Matched employer: GENERAL MOTORS FINANCIAL COMPANY, INC | Confidence: High (96%) | Match method: word_boundary | Plan: GM FINANCIAL EMPLOYEES 401K PLAN | Participants: 8,402 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
"PORTILLO'S HOT DOGS, LLC","MERRILL LYNCH, PIERCE, FENNER & SMITH",Fidelity Investments,"PORTILLO'S HOT DOGS, LLC",High,spacing_insensitive,"Recordkeeper: Fidelity Investments | Matched employer: PORTILLO'S HOT DOGS, LLC | Confidence: High (93%) | Match method: spacing_insensitive | Plan: PORTILLO'S HOT DOGS, LLC 401(K) PLAN | Participants: 4,922 | Plan year: 2024 | Reason: The normalized input matched after removing spaces from both names.",False,mismatch
"AWP, INC.",JOHN HANCOCK LIFE INSURANCE COMPANY,Principal,"AWP, INC.",High,exact_normalized,"Recordkeeper: Principal | Matched employer: AWP, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: AWP, INC. 401(K) PLAN | Participants: 5,880 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"GOODWILL INDUSTRIES, INC.",NATIONWIDE,Voya,"GOODWILL INDUSTRIES, INC.",High,exact_normalized,"Recordkeeper: Voya | Matched employer: GOODWILL INDUSTRIES, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: GOODWILL INDUSTRIES, INC. OMAHA RETIREMENT PLAN | Participants: 998 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"MARTINREA INDUSTRIES, INC.",MASSACHUSETTS MUTUAL LIFE INS,Empower Retirement,"MARTINREA INDUSTRIES, INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: MARTINREA INDUSTRIES, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: MARTINREA INDUSTRIES, INC. EMPLOYEE SAVINGS AND INVESTMENT PLAN | Participants: 3,988 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
FIRST QUALITY ENTERPRISES INC.,401K PLANS,Charles Schwab,FIRST QUALITY ENTERPRISES INC.,High,exact_normalized,"Recordkeeper: Charles Schwab | Matched employer: FIRST QUALITY ENTERPRISES INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: FIRST QUALITY SAVINGS AND INVESTMENT PLAN | Participants: 4,998 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"THE CMI GROUP, INC.",STANCORP FINANCIAL GROUP,Empower Retirement,CMI LIMITED CO.,High,exact_normalized,Recordkeeper: Empower Retirement | Matched employer: CMI LIMITED CO. | Confidence: High (100%) | Match method: exact_normalized | Plan: CMI LIMITED COMPANY 401(K) RETIREMENT PLAN | Participants: 162 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,False,mismatch
"KELLY SERVICES, INC",401K PLANS,Merrill Lynch,"KELLY SERVICES, INC",High,exact_normalized,"Recordkeeper: Merrill Lynch | Matched employer: KELLY SERVICES, INC | Confidence: High (100%) | Match method: exact_normalized | Plan: KELLY RETIREMENT SAVINGS PLAN | Participants: 185,135 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
THE WENDY'S COMPANY,GREAT-WEST LIFE AND ANNUITY INSURANCE,Transamerica,"WENDYS OF BOWLING GREEN, INC.",High,word_boundary,"Recordkeeper: Transamerica | Matched employer: WENDYS OF BOWLING GREEN, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: WENDY'S EMPLOYEE INVESTMENT PLAN | Participants: 1,672 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
SKY DANCER HOTEL & CASINO,LINCOLN NATIONAL,DWC ERISA CONSULTANTS LLC,SKY DANCER HOTEL & CASINO,High,exact_normalized,Recordkeeper: DWC ERISA CONSULTANTS LLC | Matched employer: SKY DANCER HOTEL & CASINO | Confidence: High (100%) | Match method: exact_normalized | Plan: SKY DANCER HOTEL & CASINO 401(K) PLAN | Participants: 345 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,False,mismatch
"TKC HOLDINGS, INC.",MASSACHUSETTS MUTUAL LIFE INS,Empower Retirement,"TKC HOLDINGS, INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: TKC HOLDINGS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: TKC HOLDINGS, INC. RETIREMENT PLAN | Participants: 5,732 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"AUTOMATED SYSTEMS, INC.",VOYA FINANCIAL ADVISORS,Nationwide,"AUTOMATED SYSTEMS, INC.",High,exact_normalized,"Recordkeeper: Nationwide | Matched employer: AUTOMATED SYSTEMS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: AUTOMATED SYSTEMS, INC. 401(K) RETIREMENT PLAN | Participants: 107 | Plan year: 2022 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"E GROUP, LLC",FIDELITY,John Hancock,"E GROUP, LLC",High,exact_normalized,"Recordkeeper: John Hancock | Matched employer: E GROUP, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: E GROUP 401(K) PLAN | Participants: 290 | Plan year: 2022 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
BAPTIST HEALTH,FIDELITY,Transamerica,"BAPTIST HEALTH SOUTH FLORIDA, INC.",High,word_boundary,"Recordkeeper: Transamerica | Matched employer: BAPTIST HEALTH SOUTH FLORIDA, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: BAPTIST HEALTH SOUTH FLORIDA, INC. 403(B) EMPLOYEE RETIREMENT PLAN | Participants: 33,902 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
DIMENSIONS HEALTH CORPORATION,JPMORGAN CHASE BANK,Empower Retirement,DIMENSIONS HEALTH CORPORATION,High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: DIMENSIONS HEALTH CORPORATION | Confidence: High (100%) | Match method: exact_normalized | Plan: UNIVERSITY OF MARYLAND CAPITAL REGION HEALTH RETIREMENT SAVINGS PLAN | Participants: 2,004 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"IMPACT HEALTHCARE, LLC",401K ADMINISTRATORS,AMERITAS LIFE INSURANCE CORP,"IMPACT HEALTHCARE, LLC",High,exact_normalized,"Recordkeeper: AMERITAS LIFE INSURANCE CORP | Matched employer: IMPACT HEALTHCARE, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: RETIREMENT INCOME SECURITY PLAN-IMPACT HEALTHCARE, LLC | Participants: 707 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"SIGNATURE CUSTOM CABINETRY, INC.",401K ADMINISTRATORS,FULTON FINANCIAL ADVISORS,"SIGNATURE CUSTOM CABINETRY, INC.",High,exact_normalized,"Recordkeeper: FULTON FINANCIAL ADVISORS | Matched employer: SIGNATURE CUSTOM CABINETRY, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: SIGNATURE CUSTOM CABINETRY, INC. 401(K) PLAN | Participants: 145 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"BSW, INC.",MUTUAL OF AMERICA,Empower Retirement,"BSW, INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: BSW, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: BSW, INC. RETIREMENT SAVINGS PLAN | Participants: 133 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"THE FRESH MARKET, INC.",VOYA RETIREMENT INSURANCE AND ANNUITY,Principal,"THE FRESH MARKET, INC.",High,exact_normalized,"Recordkeeper: Principal | Matched employer: THE FRESH MARKET, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: THE FRESH MARKET, INC. EMPLOYEES 401(K) SAVINGS PLAN | Participants: 7,726 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
BARC DEVELOPMENTAL SERVICES,VALIC RETIREMENT SERVICES COMPANY,VARIABLE ANNUITY LIFE INSURANCE CO,BARC DEVELOPMENTAL SERVICES,High,exact_normalized,Recordkeeper: VARIABLE ANNUITY LIFE INSURANCE CO | Matched employer: BARC DEVELOPMENTAL SERVICES | Confidence: High (100%) | Match method: exact_normalized | Plan: BARC DEVELOPMENTAL SERVICES THRIFT PLAN | Participants: 310 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,False,mismatch
"AMERICAN HEALTH MANAGEMENT, INC.",MUTUAL OF AMERICA,USI CONSULTING GROUP,"AMERICAN HEALTH MANAGEMENT, INC.",High,exact_normalized,"Recordkeeper: USI CONSULTING GROUP | Matched employer: AMERICAN HEALTH MANAGEMENT, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: 401(K) PROFIT SHARING PLAN FOR EMPLOYEES OF AMERICAN HEALTH MANAGEMENT, INC. | Participants: 654 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
FEDERAL EXPRESS CORPORATION,VANGUARD,Fidelity Investments,FEDERAL EXPRESS CORPORATION,High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: FEDERAL EXPRESS CORPORATION | Confidence: High (100%) | Match method: exact_normalized | Plan: FEDERAL EXPRESS CORPORATION PILOTS RETIREMENT SAVINGS PLAN | Participants: 6,455 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
UNITED PARCEL SERVICE COMPANY,PRUDENTIAL,Fidelity Investments,UNITED PARCEL SERVICE COMPANY,High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: UNITED PARCEL SERVICE COMPANY | Confidence: High (100%) | Match method: exact_normalized | Plan: UPS/IPA 401(K) SAVINGS PLAN | Participants: 3,638 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"TRI STAR SERVICES, LLC",ASCENSUS,Transamerica,"TRI STAR SERVICES, LLC",High,exact_normalized,"Recordkeeper: Transamerica | Matched employer: TRI STAR SERVICES, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: TRI STAR SERVICES, LLC 401(K) PLAN | Participants: 2,700 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
ADP TOTALSOURCE,ADP,Voya,"ADP TOTALSOURCE GROUP, INC.",High,exact_normalized,"Recordkeeper: Voya | Matched employer: ADP TOTALSOURCE GROUP, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: ADP TOTALSOURCE RETIREMENT SAVINGS PLAN | Participants: 346,164 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
FCA US LLC,"MERRILL LYNCH, PIERCE, FENNER & SMITH",Empower Retirement,"FCA, LLC",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: FCA, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: FCA, LLC 401(K) SAVINGS PLAN | Participants: 937 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"HOMESTEAD VILLAGE, INC",JOHN HANCOCK LIFE INSURANCE COMPANY,Empower Retirement,"HOMESTEAD VILLAGE, INC",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: HOMESTEAD VILLAGE, INC | Confidence: High (100%) | Match method: exact_normalized | Plan: HOMESTEAD VILLAGE, INC. 401(K) PLAN | Participants: 283 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
THE WENDY'S COMPANY,GREAT-WEST LIFE AND ANNUITY INSURANCE,Transamerica,"WENDYS OF BOWLING GREEN, INC.",High,word_boundary,"Recordkeeper: Transamerica | Matched employer: WENDYS OF BOWLING GREEN, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: WENDY'S EMPLOYEE INVESTMENT PLAN | Participants: 1,672 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
WINDSOR MACHINE & STAMPING (U.S.) LTD,MASSACHUSETTS MUTUAL LIFE INS,MassMutual,WINDSOR MACHINE & STAMPING (U.S.) LTD,High,exact_normalized,Recordkeeper: MassMutual | Matched employer: WINDSOR MACHINE & STAMPING (U.S.) LTD | Confidence: High (100%) | Match method: exact_normalized | Plan: WINDSOR MACHINE & STAMPING (U.S.) LTD RETIREMENT SAVINGS PLAN | Participants: 176 | Plan year: 2022 | Reason: The normalized input exactly matched the normalized DOL employer name.,False,mismatch
"COMMUNITY ACCESS, INC.",ALLIANT INSURANCE SERVICES,Vanguard,"COMMUNITY ACCESS, INC.",High,exact_normalized,"Recordkeeper: Vanguard | Matched employer: COMMUNITY ACCESS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: COMMUNITY ACCESS, INC. 403(B) RETIREMENT PLAN | Participants: 756 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"WELLS FARGO BANK, N.A. THE TRUSTEE",OUTLOOK PRINTING SOLUTIONS,No match found,,none,,"No match found for input: WELLS FARGO BANK, N.A. THE TRUSTEE",False,our_no_match
