Employer,Provider,Our_Recordkeeper,Our_Matched_Employer,Our_Confidence,Our_Match_Method,Our_Tool_Result,Providers_Agree,Compare_Note
"PEPSICO, INC.",FIDELITY,Fidelity Investments,"PEPSICO, INC.",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: PEPSICO, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: THE PEPSICO SAVINGS PLAN | Participants: 174,823 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"MINACT LOGISTICAL SERVICES, LLC",VANGUARD,Vanguard,"MINACT LOGISTICAL SERVICES, LLC",High,exact_normalized,"Recordkeeper: Vanguard | Matched employer: MINACT LOGISTICAL SERVICES, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: MINACT LOGISTICAL SERVICES, LLC RETIREMENT & SAVINGS PLAN | Participants: 401 | Plan year: 2023 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"MARELLI NORTH AMERICA, INC.",FIDELITY,Fidelity Investments,"MARELLI NORTH AMERICA, INC.",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: MARELLI NORTH AMERICA, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: MARELLI NORTH AMERICA, INC. 401(K) RETIREMENT PLAN | Participants: 3,915 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
CHARTWELL OPERATIONS LLC,RPG CONSULTANTS,RPG CONSULTANTS,CHARTWELL OPERATIONS LLC,High,exact_normalized,Recordkeeper: RPG CONSULTANTS | Matched employer: CHARTWELL OPERATIONS LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: CHARTWELL OPERATIONS LLC MULTIPLE EMPLOYER 401(K) PLAN | Participants: 306 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,True,equivalent
SOUTH CAROLINA FEDERAL CREDIT UNION,VOYA RETIREMENT INSURANCE AND ANNUITY,Voya,SOUTH CAROLINA FEDERAL CREDIT UNION,High,exact_normalized,Recordkeeper: Voya | Matched employer: SOUTH CAROLINA FEDERAL CREDIT UNION | Confidence: High (100%) | Match method: exact_normalized | Plan: SOUTH CAROLINA FEDERAL CREDIT UNION EMPLOYEES' 401K PLAN | Participants: 671 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,True,equivalent
EATON CORPORATION,FIDELITY,Fidelity Investments,EATON CORPORATION,High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: EATON CORPORATION | Confidence: High (100%) | Match method: exact_normalized | Plan: EATON SAVINGS PLAN | Participants: 36,515 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
SUBURBAN HOME HEALTH,GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,SUBURBAN HOME HEALTH,High,exact_normalized,Recordkeeper: Empower Retirement | Matched employer: SUBURBAN HOME HEALTH | Confidence: High (100%) | Match method: exact_normalized | Plan: SUBURBAN HOME HEALTH RETIREMENT PLAN | Participants: 197 | Plan year: 2023 | Reason: The normalized input exactly matched the normalized DOL employer name.,True,equivalent
MRO CORPORATION,PENSERV PLAN SERVICES,Transamerica,MRO CORPORATION,High,exact_normalized,"Recordkeeper: Transamerica | Matched employer: MRO CORPORATION | Confidence: High (100%) | Match method: exact_normalized | Plan: MRO CORPORATION 401(K) PLAN | Participants: 2,752 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"SHOPRITE SUPERMARKETS, INC.",GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,"SHOPRITE SUPERMARKETS, INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: SHOPRITE SUPERMARKETS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: SHOPRITE SUPERMARKETS, INC. 401(K) PLAN | Participants: 540 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
JEVS HUMAN SERVICES,GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,JEVS HUMAN SERVICES,High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: JEVS HUMAN SERVICES | Confidence: High (100%) | Match method: exact_normalized | Plan: JEVS HUMAN SERVICES 401(K) PLAN | Participants: 1,146 | Plan year: 2023 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
HOUSE WORKS LLC,ADP,GLOBAL RETIREMENT PARTNERS,HOUSE WORKS LLC,High,exact_normalized,"Recordkeeper: GLOBAL RETIREMENT PARTNERS | Matched employer: HOUSE WORKS LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: HOUSE WORKS LLC 401(K) PLAN | Participants: 8,689 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
WAYNE FARMS LLC,VANGUARD,Empower Retirement,WAYNE FARMS LLC,High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: WAYNE FARMS LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: WAYNE-SANDERSON FARMS 401(K) RETIREMENT PLAN | Participants: 27,958 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
KALEIDA HEALTH,FIDELITY,Fidelity Investments,KALEIDA HEALTH,High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: KALEIDA HEALTH | Confidence: High (100%) | Match method: exact_normalized | Plan: KALEIDA HEALTH SAVINGS INVESTMENT 403(B) PLAN | Participants: 10,917 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"SIENTRA, INC",ADP,RAYMOND JAMES,"SIENTRA, INC",High,exact_normalized,"Recordkeeper: RAYMOND JAMES | Matched employer: SIENTRA, INC | Confidence: High (100%) | Match method: exact_normalized | Plan: SIENTRA, INC. 401(K) PLAN | Participants: 397 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"HAMMOND GROUP, INC.",GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,"HAMMOND GROUP, INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: HAMMOND GROUP, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: HAMMOND GROUP, INC. 401(K) AND THRIFT PLAN | Participants: 153 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"TH FOODS, INC.",ADP,ADP,"TH FOODS, INC.",High,exact_normalized,"Recordkeeper: ADP | Matched employer: TH FOODS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: TH FOODS, INC. 401(K) PLAN | Participants: 752 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"CALBEE AMERICA, INC.",VANGUARD,Vanguard,"CALBEE AMERICA, INC.",High,exact_normalized,"Recordkeeper: Vanguard | Matched employer: CALBEE AMERICA, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: CALBEE AMERICA, INC. 401(K) SAVINGS PLAN | Participants: 521 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"ADECCO, INC.",PRINCIPAL LIFE INSURANCE COMPANY,Principal,"ADECCO, INC.",High,exact_normalized,"Recordkeeper: Principal | Matched employer: ADECCO, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: THE ADECCO GROUP 401(K) PLAN | Participants: 59,922 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"TASKUS, INC.",ADP,ADP,"TASKUS, INC.",High,exact_normalized,"Recordkeeper: ADP | Matched employer: TASKUS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: TASKUS INC. 401(K) PROFIT SHARING PLAN AND TRUST | Participants: 2,413 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"SABER HEALTHCARE GROUP, L.L.C",FIDELITY,Fidelity Investments,"SABER HEALTHCARE GROUP, L.L.C",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: SABER HEALTHCARE GROUP, L.L.C | Confidence: High (100%) | Match method: exact_normalized | Plan: SABER HEALTHCARE 401(K) PROFIT SHARING PLAN | Participants: 15,223 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"INDIANHEAD FOODSERVICE DISTRIBUTOR, INC.",GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,"INDIANHEAD FOODSERVICE DISTRIBUTOR,INC",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: INDIANHEAD FOODSERVICE DISTRIBUTOR,INC | Confidence: High (100%) | Match method: exact_normalized | Plan: INDIANHEAD FOODSERVICE DISTRIBUTOR 401(K) PROFIT SHARING PLAN | Participants: 273 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"GARDNER, INC.",JOHN HANCOCK LIFE INSURANCE COMPANY,John Hancock,"GARDNER, INC.",High,exact_normalized,"Recordkeeper: John Hancock | Matched employer: GARDNER, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: GARDNER, INC. 401(K) PROFIT SHARING PLAN | Participants: 495 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
PSC GROUP LLC,T. ROWE PRICE,T. Rowe Price,PSC GROUP LLC,High,exact_normalized,"Recordkeeper: T. Rowe Price | Matched employer: PSC GROUP LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: PSC GROUP 401(K) PLAN | Participants: 5,152 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
DEVEREUX,TIAA,TIAA,DEVEREUX,High,exact_normalized,"Recordkeeper: TIAA | Matched employer: DEVEREUX | Confidence: High (100%) | Match method: exact_normalized | Plan: DEVEREUX DEFINED CONTRIBUTION RETIREMENT PLAN | Participants: 19,170 | Plan year: 2023 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"TAIT, LLC",PRUDENTIAL,Empower Retirement,"TAIT, LLC",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: TAIT, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: TAIT 401(K) PLAN | Participants: 1,231 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
SUMMERWOOD CORPORATION,GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,SUMMERWOOD CORPORATION,High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: SUMMERWOOD CORPORATION | Confidence: High (100%) | Match method: exact_normalized | Plan: SUMMERWOOD CORPORATION 401(K) PLAN | Participants: 2,956 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
POP'S INC. DBA POPEYES LOUISIANA KITCHEN,SLAVIC INTEGRATED ADMINISTRATION,SLAVIC INTEGRATED ADMINISTRATION,POP'S INC. DBA POPEYES LOUISIANA KITCHEN,High,spacing_insensitive,Recordkeeper: SLAVIC INTEGRATED ADMINISTRATION | Matched employer: POP'S INC. DBA POPEYES LOUISIANA KITCHEN | Confidence: High (93%) | Match method: spacing_insensitive | Plan: SIMPLICITYHR 401(K) RETIREMENT SAVINGS PLAN | Participants: 171 | Plan year: 2022 | Reason: The normalized input matched after removing spaces from both names.,True,equivalent
"DECISIONHR, INC.",AMERITAS,AMERITAS LIFE INSURANCE CORP,"DECISIONHR, INC.",High,exact_normalized,"Recordkeeper: AMERITAS LIFE INSURANCE CORP | Matched employer: DECISIONHR, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: DECISIONHR RETIREMENT SAVINGS PLAN | Participants: 13,372 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
FEDEX CORPORATION,VANGUARD,Vanguard,FEDEX CORPORATION,High,exact_normalized,"Recordkeeper: Vanguard | Matched employer: FEDEX CORPORATION | Confidence: High (100%) | Match method: exact_normalized | Plan: FEDEX CORPORATION RETIREMENT SAVINGS PLAN | Participants: 177,265 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
COMPSYCH MANAGEMENT CORPORATION,SCHWAB RETIREMENT PLAN SERVICESINC,Charles Schwab,COMPSYCH MANAGEMENT CORPORATION,High,exact_normalized,"Recordkeeper: Charles Schwab | Matched employer: COMPSYCH MANAGEMENT CORPORATION | Confidence: High (100%) | Match method: exact_normalized | Plan: COMPSYCH MANAGEMENT CORPORATION RETIREMENT PLAN | Participants: 1,530 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"CONFLUENT, INC",FIDELITY,Fidelity Investments,"CONFLUENT, INC",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: CONFLUENT, INC | Confidence: High (100%) | Match method: exact_normalized | Plan: CONFLUENT, INC. RETIREMENT TRUST | Participants: 2,009 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"BREAD FINANCIAL PAYMENTS, INC.",PRINCIPAL LIFE INSURANCE COMPANY,T. Rowe Price,"BREAD FINANCIAL PAYMENTS, INC.",High,exact_normalized,"Recordkeeper: T. Rowe Price | Matched employer: BREAD FINANCIAL PAYMENTS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: BREAD FINANCIAL 401(K) PLAN | Participants: 11,087 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"HEBCO, INC.",PRINCIPAL LIFE INSURANCE COMPANY,Principal,"HEBCO, INC.",High,exact_normalized,"Recordkeeper: Principal | Matched employer: HEBCO, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: HEBCO, INC. RETIREMENT PLAN | Participants: 174 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"ORANGE BAKERY, INC.",UNITED OF OMAHA,UNITED OF OMAHA,"ORANGE BAKERY, INC.",High,exact_normalized,"Recordkeeper: UNITED OF OMAHA | Matched employer: ORANGE BAKERY, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: ORANGE BAKERY, INC. 401(K) SALARY REDUCTION PLAN & TRUST | Participants: 197 | Plan year: 2022 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
WALMART INC.,"MERRILL LYNCH, PIERCE, FENNER & SMITH",Merrill Lynch,WALMART INC.,High,exact_normalized,"Recordkeeper: Merrill Lynch | Matched employer: WALMART INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: WALMART 401(K) PLAN | Participants: 1,921,006 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
NEIGHBORHOOD HEALTH,ADP,ADP,NEIGHBORHOOD HEALTH,High,exact_normalized,Recordkeeper: ADP | Matched employer: NEIGHBORHOOD HEALTH | Confidence: High (100%) | Match method: exact_normalized | Plan: NEIGHBORHOOD HEALTH EMPLOYEES SAVINGS PLAN | Participants: 425 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,True,equivalent
LA-Z-BOY INCORPORATED,"MERRILL LYNCH, PIERCE, FENNER & SMITH",Merrill Lynch,LA-Z-BOY INCORPORATED,High,exact_normalized,"Recordkeeper: Merrill Lynch | Matched employer: LA-Z-BOY INCORPORATED | Confidence: High (100%) | Match method: exact_normalized | Plan: LA-Z-BOY INCORPORATED RETIREMENT SAVINGS PLAN | Participants: 10,163 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"MASTERCRAFT BOAT COMPANY, INC.",FIDELITY,Fidelity Investments,"MASTERCRAFT BOAT COMPANY, INC.",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: MASTERCRAFT BOAT COMPANY, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: MASTERCRAFT BOAT COMPANY, INC. 401K PLAN | Participants: 1,258 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
CSX Transportation,Empower,Merrill Lynch,"GENERAL COMMITTEE OF ADJUSTMENT FOR THE LINES, CSX-WESTERN LINES, CSX-",High,plan_word_boundary,"Recordkeeper: Merrill Lynch | Matched employer: GENERAL COMMITTEE OF ADJUSTMENT FOR THE LINES, CSX-WESTERN LINES, CSX- | Confidence: High (94%) | Match method: plan_word_boundary | Plan: BROTHERHOOD OF LOCOMOTIVE ENGINEERS 401(K) SAVINGS EMPLOYEES OF CSX TRANSPORTATION INC. | Participants: 5,994 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL plan name.",False,mismatch
"TURNER INDUSTRIES GROUP, LLC",VANGUARD,Vanguard,"TURNER INDUSTRIES GROUP, LLC",High,exact_normalized,"Recordkeeper: Vanguard | Matched employer: TURNER INDUSTRIES GROUP, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: TURNER INDUSTRIES 401K PLAN | Participants: 16,664 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"ENTRANS INTERNATIONAL, LLC",FIDELITY,Empower Retirement,"ENTRANS INTERNATIONAL, LLC",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: ENTRANS INTERNATIONAL, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: ENTRANS 401(K) PLAN | Participants: 1,136 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"THE LANDINGS CLUB, INC.",GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,"THE LANDINGS CLUB, INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: THE LANDINGS CLUB, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: THE LANDINGS CLUB, INC. 401(K) RETIREMENT PLAN | Participants: 405 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"WESTGATE, LLC.",VOYA RETIREMENT INSURANCE AND ANNUITY,Voya,"WESTGATE, LLC.",High,exact_normalized,"Recordkeeper: Voya | Matched employer: WESTGATE, LLC. | Confidence: High (100%) | Match method: exact_normalized | Plan: WESTGATE, LLC 401K SAVINGS & PROFIT SHARING PLAN | Participants: 295 | Plan year: 2022 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"TYSON FOODS, INC.",NWPS,Fidelity Investments,"TYSON FOODS, INC.",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: TYSON FOODS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: TYSON FOODS, INC. RETIREMENT SAVINGS PLAN | Participants: 131,960 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
ASSOC OF THE UNITED STATES ARMY INC,T. ROWE PRICE,T. Rowe Price,ASSOC OF THE UNITED STATES ARMY INC,High,exact_normalized,Recordkeeper: T. Rowe Price | Matched employer: ASSOC OF THE UNITED STATES ARMY INC | Confidence: High (100%) | Match method: exact_normalized | Plan: ASSOCIATION OF THE UNITED STATES ARMY INC RETIREMENT PLAN | Participants: 130 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,True,equivalent
"PAPA JOHN'S INTERNATIONAL, INC.",PRINCIPAL LIFE INSURANCE COMPANY,Principal,ALEXA ENTERPRISES INC. DBA PAPA JOHNS,High,word_boundary,Recordkeeper: Principal | Matched employer: ALEXA ENTERPRISES INC. DBA PAPA JOHNS | Confidence: High (96%) | Match method: word_boundary | Plan: PAPA JOHNS (AEI) 401(K) PLAN | Participants: 303 | Plan year: 2022 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.,True,equivalent
UNITED PARCEL SERVICE COMPANY,FIDELITY,Fidelity Investments,UNITED PARCEL SERVICE COMPANY,High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: UNITED PARCEL SERVICE COMPANY | Confidence: High (100%) | Match method: exact_normalized | Plan: UPS/IPA 401(K) SAVINGS PLAN | Participants: 3,638 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"KELLER LOGISTICS GROUP, INC.",JOHN HANCOCK LIFE INSURANCE COMPANY,STANCORP FINANCIAL GROUP,"KELLER LOGISTICS GROUP, INC.",High,exact_normalized,"Recordkeeper: STANCORP FINANCIAL GROUP | Matched employer: KELLER LOGISTICS GROUP, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: THOMAS E. KELLER TRUCKING, INC. 401(K) RETIREMENT SAVINGS PLAN | Participants: 768 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
"COVENANT TRANSPORT, INC.",TRANSAMERICA,Transamerica,"COVENANT TRANSPORT, INC.",High,exact_normalized,"Recordkeeper: Transamerica | Matched employer: COVENANT TRANSPORT, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: COVENANT TRANSPORTATION GROUP 401(K) & PROFIT SHARING PLAN | Participants: 3,958 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"GARRISON, INC.",ADP,ADP,"GARRISON, INC.",High,exact_normalized,"Recordkeeper: ADP | Matched employer: GARRISON, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: GARRISON, INC. 401(K) RETIREMENT SAVINGS PLAN | Participants: 828 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"NEW PRIME, INC.",FIDELITY,Fidelity Investments,"NEW PRIME, INC.",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: NEW PRIME, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: PRIME, INC. SUCCESS SHARING PLAN | Participants: 3,594 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
THE PHILADELPHIA SCHOOL,NORTHEAST FINANCIAL GROUP,NORTHEAST FINANCIAL GROUP,THE PHILADELPHIA SCHOOL,High,exact_normalized,Recordkeeper: NORTHEAST FINANCIAL GROUP | Matched employer: THE PHILADELPHIA SCHOOL | Confidence: High (100%) | Match method: exact_normalized | Plan: THE PHILADELPHIA SCHOOL 403(B) DC PLAN | Participants: 216 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.,True,equivalent
WALMART INC.,"MERRILL LYNCH, PIERCE, FENNER & SMITH",Merrill Lynch,WALMART INC.,High,exact_normalized,"Recordkeeper: Merrill Lynch | Matched employer: WALMART INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: WALMART 401(K) PLAN | Participants: 1,921,006 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"ANDERSON COLUMBIA CO., INC.",GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,"ANDERSON COLUMBIA CO., INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: ANDERSON COLUMBIA CO., INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: ANDERSON COLUMBIA CO., INC. 401(K) SALARY REDUCTION PLAN | Participants: 1,883 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"AMAZON.COM SERVICES, LLC",FIDELITY,Fidelity Investments,"AMAZON.COM SERVICES, LLC",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: AMAZON.COM SERVICES, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: AMAZON 401(K) PLAN | Participants: 1,336,478 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
EXCEPTIONAL HEARTS HOME CARE,GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,EXCEPTIONAL HEARTS HOME CARE,High,exact_normalized,Recordkeeper: Empower Retirement | Matched employer: EXCEPTIONAL HEARTS HOME CARE | Confidence: High (100%) | Match method: exact_normalized | Plan: EXCEPTIONAL HEARTS 401K PLAN | Participants: 166 | Plan year: 2022 | Reason: The normalized input exactly matched the normalized DOL employer name.,True,equivalent
JEVS HUMAN SERVICES,GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,JEVS HUMAN SERVICES,High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: JEVS HUMAN SERVICES | Confidence: High (100%) | Match method: exact_normalized | Plan: JEVS HUMAN SERVICES 401(K) PLAN | Participants: 1,146 | Plan year: 2023 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
DEL TACO LLC,GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,DEL TACO LLC,High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: DEL TACO LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: DEL TACO SAVINGS PLAN | Participants: 3,120 | Plan year: 2023 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"SAFEWAY ENTERPRISES, LLC",NATIONWIDE,Nationwide,"SAFEWAY ENTERPRISES, LLC",High,exact_normalized,"Recordkeeper: Nationwide | Matched employer: SAFEWAY ENTERPRISES, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: SAFEWAY ENTERPRISES, LLC 401(K) PLAN | Participants: 243 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"ADAMS AND ASSOCIATES, INC.",PRINCIPAL LIFE INSURANCE COMPANY,Principal,"ADAMS AND ASSOCIATES, INC.",High,exact_normalized,"Recordkeeper: Principal | Matched employer: ADAMS AND ASSOCIATES, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: ADAMS AND ASSOCIATES 401(K) SAVINGS PLAN | Participants: 2,249 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"EMPOWER RETIREMENT, LLC",GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,"EMPOWER RETIREMENT, LLC",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: EMPOWER RETIREMENT, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: EMPOWER RETIREMENT, LLC 401(K) SAVINGS PLAN | Participants: 14,676 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"ROMARK LOGISTICS OF TEXAS, INC.",GREAT-WEST LIFE AND ANNUITY INSURANCE,Empower Retirement,"ROMARK LOGISTICS OF TEXAS, INC.",High,exact_normalized,"Recordkeeper: Empower Retirement | Matched employer: ROMARK LOGISTICS OF TEXAS, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: RLG EMPLOYEES' 401(K) PLAN | Participants: 855 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
THE SHERWIN-WILLIAMS COMPANY,FIDELITY,Fidelity Investments,THE SHERWIN-WILLIAMS COMPANY,High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: THE SHERWIN-WILLIAMS COMPANY | Confidence: High (100%) | Match method: exact_normalized | Plan: THE SHERWIN-WILLIAMS COMPANY 401(K) PLAN | Participants: 63,424 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
"PISTON AUTOMOTIVE, LLC",FIDELITY,Fidelity Investments,"PISTON AUTOMOTIVE, LLC",High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: PISTON AUTOMOTIVE, LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: PISTON GROUP 401(K) PLAN | Participants: 1,534 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
VALVOLINE INC.,FIDELITY,Fidelity Investments,VALVOLINE INC.,High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: VALVOLINE INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: VALVOLINE 401(K) PLAN | Participants: 15,760 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
